strategy,model,feature_set,fold,n_train,n_test,accuracy,balanced_accuracy,precision,recall,f1,roc_auc
loso,gb,all,A04,142,3,0.3333333333333333,0.5,0.0,0.0,0.0,0.0
loso,gb,all,A05,142,3,1.0,,0.0,0.0,0.0,
loso,gb,all,A06,142,3,0.3333333333333333,0.5,0.0,0.0,0.0,1.0
loso,gb,all,A07,142,3,0.3333333333333333,0.5,0.0,0.0,0.0,0.5
loso,gb,all,A08,142,3,0.3333333333333333,,0.0,0.0,0.0,
loso,gb,all,A09,142,3,0.3333333333333333,0.5,0.0,0.0,0.0,0.0
loso,gb,all,A10,142,3,0.6666666666666666,,0.0,0.0,0.0,
loso,gb,all,A11,142,3,0.6666666666666666,,0.0,0.0,0.0,
loso,gb,all,A12,142,3,0.6666666666666666,0.5,0.0,0.0,0.0,1.0
loso,gb,all,A13,142,3,0.3333333333333333,0.5,0.0,0.0,0.0,1.0
loso,gb,all,A14,142,3,0.3333333333333333,,0.0,0.0,0.0,
loso,gb,all,A15,142,3,0.3333333333333333,0.5,0.0,0.0,0.0,0.0
loso,gb,all,A16,142,3,0.0,,0.0,0.0,0.0,
loso,gb,all,A17,142,3,0.6666666666666666,0.5,0.0,0.0,0.0,0.5
loso,gb,all,A19,142,3,0.6666666666666666,0.5,0.0,0.0,0.0,1.0
loso,gb,all,A20,142,3,0.3333333333333333,,1.0,0.3333333333333333,0.5,
loso,gb,all,A21,142,3,0.3333333333333333,0.5,0.3333333333333333,1.0,0.5,0.5
loso,gb,all,A22,142,3,0.6666666666666666,0.75,1.0,0.5,0.6666666666666666,1.0
loso,gb,all,A23,142,3,0.3333333333333333,,0.0,0.0,0.0,
loso,gb,all,A24,142,3,0.0,,0.0,0.0,0.0,
loso,gb,all,A25,142,3,0.0,,0.0,0.0,0.0,
loso,gb,all,A27,142,3,0.6666666666666666,0.5,0.6666666666666666,1.0,0.8,1.0
loso,gb,all,A28,142,3,0.6666666666666666,0.5,0.0,0.0,0.0,0.0
loso,gb,all,A30,142,3,0.6666666666666666,,1.0,0.6666666666666666,0.8,
loso,gb,all,B01,141,4,0.5,0.5,0.5,1.0,0.6666666666666666,0.75
loso,gb,all,B02,141,4,0.75,,1.0,0.75,0.8571428571428571,
loso,gb,all,B03,141,4,0.75,0.75,0.6666666666666666,1.0,0.8,1.0
loso,gb,all,B06,141,4,1.0,,1.0,1.0,1.0,
loso,gb,all,B07,141,4,1.0,,1.0,1.0,1.0,
loso,gb,all,B08,141,4,0.5,0.5,0.5,1.0,0.6666666666666666,0.0
loso,gb,all,B09,141,4,0.5,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333
loso,gb,all,B10,141,4,0.75,0.5,0.75,1.0,0.8571428571428571,0.3333333333333333
loso,gb,all,B12,141,4,0.5,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
loso,gb,all,B13,141,4,0.5,0.6666666666666666,0.3333333333333333,1.0,0.5,1.0
loso,gb,all,B14,141,4,0.5,0.5,0.5,1.0,0.6666666666666666,0.25
loso,gb,all,B15,141,4,0.5,,1.0,0.5,0.6666666666666666,
loso,gb,all,B16,141,4,0.5,,1.0,0.5,0.6666666666666666,
loso,gb,all,B17,141,4,0.0,,0.0,0.0,0.0,
loso,gb,all,B18,142,3,1.0,,1.0,1.0,1.0,
loso,gb,all,B19,141,4,0.75,0.5,0.75,1.0,0.8571428571428571,1.0
loso,gb,all,B20,141,4,0.5,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
loso,nb,all,A01,142,3,1.0,,0.0,0.0,0.0,
loso,nb,all,A03,142,3,1.0,,0.0,0.0,0.0,
loso,nb,all,A04,142,3,0.3333333333333333,0.5,0.0,0.0,0.0,0.0
loso,nb,all,A05,142,3,1.0,,0.0,0.0,0.0,
loso,nb,all,A06,142,3,0.3333333333333333,0.5,0.0,0.0,0.0,1.0
loso,nb,all,A07,142,3,0.3333333333333333,0.5,0.0,0.0,0.0,0.0
loso,nb,all,A08,142,3,1.0,,0.0,0.0,0.0,
loso,nb,all,A09,142,3,0.3333333333333333,0.5,0.0,0.0,0.0,0.0
loso,nb,all,A10,142,3,1.0,,0.0,0.0,0.0,
loso,nb,all,A11,142,3,1.0,,0.0,0.0,0.0,
loso,nb,all,A12,142,3,0.6666666666666666,0.5,0.0,0.0,0.0,0.5
loso,nb,all,A13,142,3,0.3333333333333333,0.5,0.0,0.0,0.0,1.0
loso,nb,all,A14,142,3,1.0,,0.0,0.0,0.0,
loso,nb,all,A15,142,3,0.3333333333333333,0.5,0.0,0.0,0.0,0.5
loso,nb,all,A16,142,3,1.0,,0.0,0.0,0.0,
loso,nb,all,A17,142,3,0.6666666666666666,0.5,0.0,0.0,0.0,0.0
loso,nb,all,A19,142,3,0.6666666666666666,0.5,0.0,0.0,0.0,0.5
loso,nb,all,A20,142,3,0.0,,0.0,0.0,0.0,
loso,nb,all,A21,142,3,0.6666666666666666,0.5,0.0,0.0,0.0,0.5
loso,nb,all,A22,142,3,0.3333333333333333,0.5,0.0,0.0,0.0,1.0
loso,nb,all,A23,142,3,0.0,,0.0,0.0,0.0,
loso,nb,all,A24,142,3,0.0,,0.0,0.0,0.0,
loso,nb,all,A25,142,3,1.0,,0.0,0.0,0.0,
loso,nb,all,A27,142,3,0.6666666666666666,0.75,1.0,0.5,0.6666666666666666,1.0
loso,nb,all,A28,142,3,0.6666666666666666,0.5,0.0,0.0,0.0,0.0
loso,nb,all,A30,142,3,0.0,,0.0,0.0,0.0,
loso,nb,all,B01,141,4,0.5,0.5,0.5,0.5,0.5,0.25
loso,nb,all,B02,141,4,1.0,,1.0,1.0,1.0,
loso,nb,all,B03,141,4,0.25,0.25,0.0,0.0,0.0,0.5
loso,nb,all,B06,141,4,0.0,,0.0,0.0,0.0,
loso,nb,all,B07,141,4,0.5,,1.0,0.5,0.6666666666666666,
loso,nb,all,B08,141,4,0.5,0.5,0.5,1.0,0.6666666666666666,0.5
loso,nb,all,B09,141,4,0.25,0.16666666666666666,0.5,0.3333333333333333,0.4,0.3333333333333333
loso,nb,all,B10,141,4,0.25,0.5,0.0,0.0,0.0,0.0
loso,nb,all,B12,141,4,0.5,0.6666666666666666,1.0,0.3333333333333333,0.5,0.6666666666666666
loso,nb,all,B13,141,4,0.25,0.5,0.25,1.0,0.4,0.5
loso,nb,all,B14,141,4,0.5,0.5,0.5,1.0,0.6666666666666666,0.5
loso,nb,all,B15,141,4,0.25,,1.0,0.25,0.4,
loso,nb,all,B16,141,4,0.0,,0.0,0.0,0.0,
loso,nb,all,B17,141,4,0.5,,0.0,0.0,0.0,
loso,nb,all,B18,142,3,0.0,,0.0,0.0,0.0,
loso,nb,all,B19,141,4,0.5,0.6666666666666666,1.0,0.3333333333333333,0.5,0.6666666666666666
loso,nb,all,B20,141,4,1.0,1.0,1.0,1.0,1.0,1.0
loso,dummy,all,A01,142,3,0.0,,0.0,0.0,0.0,
loso,dummy,all,A03,142,3,0.0,,0.0,0.0,0.0,
loso,dummy,all,A04,142,3,0.6666666666666666,0.5,0.6666666666666666,1.0,0.8,0.5
loso,dummy,all,A05,142,3,0.0,,0.0,0.0,0.0,
loso,dummy,all,A06,142,3,0.6666666666666666,0.5,0.6666666666666666,1.0,0.8,0.5
loso,dummy,all,A07,142,3,0.6666666666666666,0.5,0.6666666666666666,1.0,0.8,0.5
loso,dummy,all,A08,142,3,0.0,,0.0,0.0,0.0,
loso,dummy,all,A09,142,3,0.6666666666666666,0.5,0.6666666666666666,1.0,0.8,0.5
loso,dummy,all,A10,142,3,0.0,,0.0,0.0,0.0,
loso,dummy,all,A11,142,3,0.0,,0.0,0.0,0.0,
loso,dummy,all,A12,142,3,0.3333333333333333,0.5,0.3333333333333333,1.0,0.5,0.5
loso,dummy,all,A13,142,3,0.6666666666666666,0.5,0.6666666666666666,1.0,0.8,0.5
loso,dummy,all,A14,142,3,0.0,,0.0,0.0,0.0,
loso,dummy,all,A15,142,3,0.6666666666666666,0.5,0.6666666666666666,1.0,0.8,0.5
loso,dummy,all,A16,142,3,0.0,,0.0,0.0,0.0,
loso,dummy,all,A17,142,3,0.3333333333333333,0.5,0.3333333333333333,1.0,0.5,0.5
loso,dummy,all,A19,142,3,0.3333333333333333,0.5,0.3333333333333333,1.0,0.5,0.5
loso,dummy,all,A20,142,3,1.0,,1.0,1.0,1.0,
loso,dummy,all,A21,142,3,0.3333333333333333,0.5,0.3333333333333333,1.0,0.5,0.5
loso,dummy,all,A22,142,3,0.6666666666666666,0.5,0.6666666666666666,1.0,0.8,0.5
loso,dummy,all,A23,142,3,0.0,,0.0,0.0,0.0,
loso,dummy,all,A24,142,3,1.0,,1.0,1.0,1.0,
loso,dummy,all,A25,142,3,0.0,,0.0,0.0,0.0,
loso,dummy,all,A27,142,3,0.6666666666666666,0.5,0.6666666666666666,1.0,0.8,0.5
loso,dummy,all,A28,142,3,0.3333333333333333,0.5,0.3333333333333333,1.0,0.5,0.5
loso,dummy,all,A30,142,3,1.0,,1.0,1.0,1.0,
loso,dummy,all,B01,141,4,0.5,0.5,0.5,1.0,0.6666666666666666,0.5
loso,dummy,all,B02,141,4,1.0,,1.0,1.0,1.0,
loso,dummy,all,B03,141,4,0.5,0.5,0.5,1.0,0.6666666666666666,0.5
loso,dummy,all,B06,141,4,1.0,,1.0,1.0,1.0,
loso,dummy,all,B07,141,4,1.0,,1.0,1.0,1.0,
loso,dummy,all,B08,141,4,0.5,0.5,0.5,1.0,0.6666666666666666,0.5
loso,dummy,all,B09,141,4,0.75,0.5,0.75,1.0,0.8571428571428571,0.5
loso,dummy,all,B10,141,4,0.75,0.5,0.75,1.0,0.8571428571428571,0.5
loso,dummy,all,B12,141,4,0.75,0.5,0.75,1.0,0.8571428571428571,0.5
loso,dummy,all,B13,141,4,0.25,0.5,0.25,1.0,0.4,0.5
loso,dummy,all,B14,141,4,0.5,0.5,0.5,1.0,0.6666666666666666,0.5
loso,dummy,all,B15,141,4,1.0,,1.0,1.0,1.0,
loso,dummy,all,B16,141,4,1.0,,1.0,1.0,1.0,
loso,dummy,all,B17,141,4,0.0,,0.0,0.0,0.0,
loso,dummy,all,B18,142,3,1.0,,1.0,1.0,1.0,
loso,dummy,all,B19,141,4,0.75,0.5,0.75,1.0,0.8571428571428571,0.5
loso,dummy,all,B20,141,4,0.75,0.5,0.75,1.0,0.8571428571428571,0.5
loto,logreg,all,A01,119,26,0.3076923076923077,0.4916666666666667,0.22727272727272727,0.8333333333333334,0.35714285714285715,0.55
loto,logreg,all,A02,119,26,0.5769230769230769,0.5484848484848485,0.5,0.36363636363636365,0.42105263157894735,0.5090909090909091
loto,logreg,all,A03,119,26,0.4230769230769231,0.42307692307692313,0.375,0.23076923076923078,0.2857142857142857,0.43786982248520717
loto,logreg,all,B01,129,16,0.75,0.6666666666666667,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334
loto,logreg,all,B02,128,17,0.5882352941176471,0.48809523809523814,0.8181818181818182,0.6428571428571429,0.72,0.6190476190476191
loto,logreg,all,B03,128,17,0.5294117647058824,0.5069444444444444,0.5333333333333333,0.8888888888888888,0.6666666666666666,0.5972222222222222
loto,logreg,all,B04,128,17,0.5882352941176471,0.5333333333333333,0.7272727272727273,0.6666666666666666,0.6956521739130435,0.6666666666666667
loto,rf,all,A01,119,26,0.7692307692307693,0.7333333333333334,0.5,0.6666666666666666,0.5714285714285714,0.8166666666666667
loto,rf,all,A02,119,26,0.5769230769230769,0.5484848484848485,0.5,0.36363636363636365,0.42105263157894735,0.6909090909090909
loto,rf,all,A03,119,26,0.6923076923076923,0.6923076923076923,0.8571428571428571,0.46153846153846156,0.6,0.7041420118343196
loto,rf,all,B01,129,16,0.75,0.5,0.75,1.0,0.8571428571428571,0.7291666666666666
loto,rf,all,B02,128,17,0.8235294117647058,0.6309523809523809,0.8666666666666667,0.9285714285714286,0.896551724137931,0.6904761904761905
loto,rf,all,B03,128,17,0.5294117647058824,0.5,0.5294117647058824,1.0,0.6923076923076923,0.6666666666666666
loto,rf,all,B04,128,17,0.5882352941176471,0.475,0.6923076923076923,0.75,0.72,0.5333333333333332
loto,svm,all,A01,119,26,0.6153846153846154,0.5166666666666666,0.25,0.3333333333333333,0.2857142857142857,0.625
loto,svm,all,A02,119,26,0.6538461538461539,0.5909090909090909,1.0,0.18181818181818182,0.3076923076923077,0.6121212121212121
loto,svm,all,A03,119,26,0.5,0.5,0.5,0.07692307692307693,0.13333333333333333,0.5621301775147929
loto,svm,all,B01,129,16,0.75,0.5,0.75,1.0,0.8571428571428571,0.6458333333333333
loto,svm,all,B02,128,17,0.7647058823529411,0.4642857142857143,0.8125,0.9285714285714286,0.8666666666666667,0.40476190476190477
loto,svm,all,B03,128,17,0.5294117647058824,0.5,0.5294117647058824,1.0,0.6923076923076923,0.5416666666666667
loto,svm,all,B04,128,17,0.7058823529411765,0.5,0.7058823529411765,1.0,0.8275862068965517,0.5666666666666667
loto,knn,all,A01,119,26,0.6923076923076923,0.5666666666666667,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6875
loto,knn,all,A02,119,26,0.5769230769230769,0.5727272727272728,0.5,0.5454545454545454,0.5217391304347826,0.5393939393939394
